               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.054229,            0.026108,            0.033722,             0.25038,             0.46945,             0.27775,             0.13821,            0.021009,            0.007047,             0.01899,             0.07025,           0.0033056,           0.0033056
                   1,            0.037153,            0.017331,            0.026295,             0.57213,             0.60655,             0.57492,             0.34001,            0.019356,            0.005115,            0.013201,            0.040119,           0.0065074,           0.0065074
                   2,            0.035731,            0.015343,            0.022294,             0.47369,             0.54171,             0.52844,             0.31177,            0.020736,           0.0053465,            0.017926,           0.0098551,           0.0095773,           0.0095773
                   3,            0.031646,            0.015007,            0.019318,             0.49248,             0.69536,             0.67186,             0.37942,            0.016394,           0.0054814,            0.013852,            0.009406,            0.009406,            0.009406
                   4,            0.031116,            0.014801,            0.018369,             0.66143,             0.77973,             0.72946,             0.45504,            0.015108,           0.0053722,           0.0093107,            0.009406,            0.009406,            0.009406
                   5,            0.027224,             0.01439,            0.016965,             0.77681,             0.76206,              0.8291,             0.49144,            0.016873,           0.0049693,           0.0096137,            0.009208,            0.009208,            0.009208
                   6,            0.026607,            0.014296,             0.01641,              0.7235,             0.73508,             0.77686,             0.44993,            0.016092,           0.0052034,           0.0092787,             0.00901,             0.00901,             0.00901
                   7,            0.026899,            0.014108,            0.014177,             0.80289,             0.83331,             0.86215,             0.55647,            0.013642,           0.0048376,           0.0071638,            0.008812,            0.008812,            0.008812
                   8,            0.024526,            0.013884,             0.01399,             0.88294,             0.87258,             0.90684,             0.65314,            0.011962,           0.0046527,           0.0080607,            0.008614,            0.008614,            0.008614
                   9,            0.024783,            0.013597,            0.013366,             0.83442,             0.86358,             0.90797,             0.64701,             0.01381,           0.0046957,           0.0091062,            0.008416,            0.008416,            0.008416
                  10,            0.023648,            0.013462,            0.013582,             0.77633,              0.8514,             0.87238,             0.58961,            0.013263,           0.0049573,            0.009685,            0.008218,            0.008218,            0.008218
